"locID","mapID","mapCheckID","item"
"0001","mp0401","TBOX01","1"
"0002","mp0401","TBOX02","1"
"0003","mp0401","TBOX03","1"
"0004","mp0401","TBOX04","1"
"0005","mp0402","TBOX01","1"
"0006","mp0402","TBOX02","1"
"0007","mp0402","TBOX03","1"
"0008","mp0402","TBOX04","1"
"0009","mp0403","TBOX01","1"
"0010","mp0403","TBOX02","1"
"0011","mp0403","TBOX03","1"
"0012","mp0403","TBOX04","1"
"0013","mp0404","TBOX01","1"
"0014","mp0404","TBOX02","1"
"0015","mp0404","TBOX03","1"
"0016","mp0404","TBOX04","1"
"0017","mp0404","TBOX05","1"
"0018","mp0405","TBOX01","1"
"0019","mp0408","TBOX01","1"
"0020","mp0408","TBOX02","1"
"0021","mp0408","TBOX03","1"
"0022","mp0408","TBOX04","1"
"0023","mp1104","TBOX01","1"
"0024","mp1104","TBOX02","1"
"0025","mp1104","TBOX03","1"
"0026","mp1106","TBOX01","1"
"0027","mp1107","TBOX01","1"
"0028","mp1107","TBOX02","1"
"0029","mp1108","TBOX01","1"
"0030","mp1109","TBOX01","1"
"0031","mp1109","TBOX02","1"
"0032","mp1109","TBOX03","1"
"0033","mp1111","TBOX01","1"
"0034","mp1112","TBOX01","1"
"0035","mp1112","TBOX02","1"
"0036","mp1113","TBOX01","1"
"0037","mp1114","TBOX01","1"
"0038","mp1114","TBOX03","1"
"0039","mp1115","TBOX01","1"
"0040","mp1115","TBOX02","1"
"0041","mp1116","TBOX01","1"
"0042","mp1117","TBOX01","1"
"0043","mp1117","TBOX02","1"
"0044","mp1120","TBOX01","1"
"0045","mp1120","TBOX02","1"
"0046","mp1120","TBOX03","1"
"0047","mp1120t3","TBOX01","1"
"0048","mp1120t3","TBOX02","1"
"0049","mp1120t3","TBOX03","1"
"0050","mp1123","TBOX01","1"
"0051","mp1131","TBOX01","1"
"0052","mp1132","TBOX01","1"
"0053","mp1132","TBOX02","1"
"0054","mp1132","TBOX03","1"
"0055","mp1133","TBOX01","1"
"0056","mp1134","TBOX01","1"
"0057","mp1134","TBOX02","1"
"0058","mp1135","TBOX01","1"
"0059","mp1135","TBOX02","1"
"0060","mp1301","TBOX01","1"
"0061","mp1301","TBOX02","1"
"0062","mp1301t2","TBOX01","1"
"0063","mp1301t2","TBOX02","1"
"0064","mp1301t2","TBOX03","1"
"0065","mp1302","TBOX03","1"
"0066","mp1302","TBOX04","1"
"0067","mp1302","TBOX05","1"
"0068","mp1302","TBOX06","1"
"0069","mp1302t2","TBOX01","1"
"0070","mp1302t2","TBOX02","1"
"0071","mp1302t2","TBOX03","1"
"0072","mp1302t2","TBOX04","1"
"0073","mp1303","TBOX01","1"
"0074","mp1303","TBOX02","1"
"0075","mp1303","TBOX03","1"
"0076","mp1303","TBOX04","1"
"0077","mp1303t2","TBOX01","1"
"0078","mp1303t2","TBOX02","1"
"0079","mp1304","TBOX01","1"
"0080","mp1304","TBOX02","1"
