//冒険日誌、メインストーリー用テーブル					
//					
//項目定義セクション					
//[STORY]	定義ＩＤ（マップマーカーに使用:flag.hで定義）	項目名	タイトル	メイン?	過去編?
//[STORYEND]					
//					
//コンテンツ内容定義（[STORY]～[STORYEND]）					
//フラグ番号	テキスト				
//					
//フラグ番号はテキスト表示のチェック用。二行目以降で省略した場合、以前に設定したフラグ番号でチェックを行う。					
//テキストは日誌のコンテンツとして表示するテキスト、１テキスト１行固定。					
//					
//<記入例>					
//					
//[STORY]	DIARY_STORY	キャスナン	キャスナン　～始まりの地～	1	0
//GF_TBOX_DUMMY116	ここはどこなのだろう？				
//GF_TBOX_DUMMY116	記憶を失い行き倒れた所を酒場の女将に拾われた。				
//	そこに「デュレン」と名乗る男が現れた。				
//	どうやら彼は僕を知っているらしい。				
//GF_TBOX_DUMMY116	鉱山で何かあったらしい。				
//	・・・				
//[STORYEND]					
//					
					
//- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 					
[STORY]	DIARY_STORY	Prologue	Prologue: Night on the Gaete Sea	1	0
GF_TBOX_DUMMY116	★The captain wants to see me in his quarters.				
GF_TBOX_DUMMY116	★I'm working as security and patrolling the ship.				
GF_TBOX_DUMMY116	★I must go to the captain's quarters.				
GF_TBOX_DUMMY116	★I need to check out what's happening outside.				
[STORYEND]					
//- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 					
[STORY]	DIARY_STORY	Chapter 1	Ch. 1: The Isle of Seiren	1	0
GF_TBOX_DUMMY116	★I've arrived on a strange beach. I should explore the area.				
GF_TBOX_DUMMY116	★I'm going to head deeper inland.				
GF_TBOX_DUMMY116	★Laxia and I need to find a safe location.				
GF_TBOX_DUMMY116	★I found a quiet inlet. Let's explore it.				
GF_TBOX_DUMMY116	★Let's follow the shadow that Laxia saw.				
GF_TBOX_DUMMY116	★I found an old cave. Could people be inside?				
GF_TBOX_DUMMY116	★We should continue searching the cave.				
GF_TBOX_DUMMY116	★Let's map the island and search for castaways.				
GF_TBOX_DUMMY116	★Let's return to base with Sahad.				
[STORYEND]					
//- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 					
[STORY]	DIARY_STORY	Chapter 2	Ch. 2: The Castaway Banquet	1	0
GF_TBOX_DUMMY116	★I should talk to Sahad before we leave.				
GF_TBOX_DUMMY116	★Check out the village and catch some fish.				
GF_TBOX_DUMMY116	★Go back and report to Dogi.				
GF_TBOX_DUMMY116	★I need to speak with Captain Barbaros.				
GF_TBOX_DUMMY116	★Let's map the island and search for castaways.				
GF_TBOX_DUMMY116	★Paro has asked us to return to the village right away.				
GF_TBOX_DUMMY116	★Let's work together to fend off this beast raid.				
GF_TBOX_DUMMY116	★Continue mapping the island and searching for castaways.				
GF_TBOX_DUMMY116	★We should ask Kathleen to refine our weapons.				
GF_TBOX_DUMMY116	★Continue mapping the island and searching for castaways.				
GF_TBOX_DUMMY116	★I found a watchtower. Have people been here before?				
GF_TBOX_DUMMY116	★Continue mapping the island and searching for castaways.				
GF_TBOX_DUMMY116	★Where can I use this insect repellent I got?				
GF_TBOX_DUMMY116	★Continue mapping the island and searching for castaways.				
GF_TBOX_DUMMY116	★Whose scream did I just hear at the village?				
GF_TBOX_DUMMY116	★Let's work together to fend off this beast raid.				
GF_TBOX_DUMMY116	★We must search for Sir Carlan.				
GF_TBOX_DUMMY116	★We had better rescue Sir Carlan.				
GF_TBOX_DUMMY116	★Let's gather information about the incident.				
GF_TBOX_DUMMY116	★We should follow the person that Sahad saw.				
GF_TBOX_DUMMY116	★Let's examine the nearby trees.				
